fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,stock_id
2022-12-31,USD,127243000000,29118000000,7886000000,7886000000,1552000000,14209000000.0,96874000000,5334000000.0,13361000000.0,67133000000,11184000000,55949000000,,142000000.0,852000000,2610000000,,105222000000,31505000000,4051000000.0,15531000000.0,9511000000.0,4760000000,83414000000,164000000.0,47190000000,4676000000.0,46189000000.0,107759000000,9788000000,12243000000.0,21944000000,169484000000.0,149825000000,58343000000,906091977,1
2021-12-31,USD,132001000000,29539000000,6650000000,6650000000,1649000000,14977000000.0,101786000000,5694000000.0,14390000000.0,68154000000,12511000000,55643000000,199000000.0,159000000.0,600000000,5663000000,,113005000000,33619000000,3955000000.0,16095000000.0,13551000000.0,6787000000,90188000000,63000000.0,56193000000,6728000000.0,44917000000.0,110496000000,9386000000,13996000000.0,18901000000,169392000000.0,154209000000,57319000000,898068600,1
2020-12-31,USD,155971000000,39165000000,13188000000,13812000000,1812000000,18738000000.0,115864000000,6205000000.0,13895000000.0,73413000000,13796000000,53765000000,923000000.0,172000000.0,600000000,4776000000,,135244000000,39869000000,4033000000.0,17134000000.0,14102000000.0,7116000000,106679000000,60000000.0,68416000000,6956000000.0,54217000000.0,130178000000,13588000000,14180000000.0,20597000000,169339000000.0,162717000000,56556000000,892653424,1
2019-12-31,USD,152186000000,38420000000,8172000000,8868000000,1619000000,23795000000.0,112878000000,10010000000.0,22018000000.0,73457000000,15235000000,52471000000,974000000.0,184000000.0,696000000,4138000000,,131202000000,37701000000,4896000000.0,15877000000.0,16319000000.0,8797000000,100877000000,5259000000.0,65953000000,7522000000.0,54102000000.0,132187000000,10602000000,14526000000.0,20841000000,169413000000.0,162954000000,55895000000,887110455,1
2018-12-31,USD,123382000000,49146000000,11379000000,11997000000,1682000000,30563000000.0,68067000000,10792000000.0,21668000000.0,39352000000,3087000000,36265000000,1157000000.0,192000000.0,618000000,4904000000,,106452000000,38227000000,6558000000.0,14610000000.0,10207000000.0,10207000000,76767000000,,42656000000,7051000000.0,35605000000.0,52863000000,10297000000,12174000000.0,16796000000,168071000000.0,159206000000,55151000000,892479411,1
2022-12-31,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000.0,202772000000,112668000000.0,59042000000.0,31044000000,2084000000,28960000000,212885000000.0,32795000000.0,91883000000,8105000000,6623000000.0,109120000000,69300000000,5128000000.0,4507000000.0,298000000.0,0,39820000000,1844000000.0,15312000000,0.0,9900000000.0,15312000000,51006000000,2247000000.0,256144000000,,195563000000,68184000000,12849000000,2
2021-12-31,USD,359268000000,188143000000,20945000000,139649000000,1170000000,40270000000.0,172625000000,97599000000.0,49414000000.0,24373000000,1417000000,22956000000,152164000000.0,31049000000.0,118704000000,8020000000,5361000000.0,107633000000,64254000000,6037000000.0,3823000000.0,113000000.0,0,43379000000,1973000000.0,15440000000,0.0,12400000000.0,15440000000,52740000000,2205000000.0,251635000000,,191484000000,61774000000,662121000,2
2020-12-31,USD,319616000000,174296000000,26465000000,136694000000,728000000,31384000000.0,146720000000,84749000000.0,41713000000.0,22620000000,1445000000,21175000000,138984000000.0,22103000000.0,110229000000,5490000000,3953000000.0,97072000000,56834000000,5589000000.0,3024000000.0,1100000000.0,0,40238000000,1100000000.0,15319000000,999000000.0,14000000000.0,15319000000,47008000000,2269000000.0,222544000000,,163401000000,58510000000,675222000,2
2019-12-31,USD,275909000000,152578000000,18498000000,119675000000,999000000,27492000000.0,123331000000,73646000000.0,30561000000.0,22603000000,1979000000,20624000000,119195000000.0,14378000000.0,101177000000,4412000000,2342000000.0,74467000000,45221000000,5561000000.0,2266000000.0,1199000000.0,0,19032000000,685000000.0,4685000000,0.0,3958000000.0,4685000000,36553000000,2534000000.0,201442000000,,152122000000,50552000000,688335000,2
2018-12-31,USD,232792000000,135676000000,16701000000,109140000000,1107000000,21193000000.0,97116000000,59719000000.0,22788000000.0,20108000000,2220000000,17888000000,199328000000.0,15159000000.0,92439000000,4236000000,2693000000.0,55164000000,34620000000,4378000000.0,2180000000.0,,0,19280000000,62000000.0,4062000000,,3950000000.0,4062000000,28389000000,3545000000.0,177628000000,,134885000000,45049000000,695556000,2
2023-01-29,USD,41182000000,23073000000,3389000000,13296000000,5159000000,3827000000.0,18408000000,3807000000.0,2694000000.0,6048000000,1676000000,4372000000,23261000000.0,299000000.0,9907000000,791000000,3820000000.0,19081000000,6563000000,1193000000.0,1144000000.0,1250000000.0,0,14187000000,902000000.0,10953000000,1250000000.0,9703000000.0,10953000000,3766000000,1913000000.0,22101000000,,10171000000,2000000,2466000000,3
2022-01-30,USD,44187000000,28829000000,1990000000,21208000000,2605000000,4650000000.0,15624000000,2778000000.0,1903000000.0,6688000000,2339000000,4349000000,40397000000.0,266000000.0,19218000000,366000000,3841000000.0,17575000000,4335000000,1783000000.0,1004000000.0,0.0,0,14667000000,741000000.0,10946000000,0.0,10946000000.0,10946000000,2252000000,1553000000.0,26612000000,0.0,16235000000,3000000,2506000000,3
2021-01-31,USD,28791000000,16055000000,847000000,11561000000,1826000000,2429000000.0,12880000000,2149000000.0,1408000000.0,6927000000,2737000000,4190000000,22209000000.0,144000000.0,10714000000,97000000,2144000000.0,11898000000,3925000000,1149000000.0,902000000.0,999000000.0,0,9246000000,634000000.0,6963000000,999000000.0,5964000000.0,6963000000,1437000000,1375000000.0,16893000000,10756000000.0,18908000000,3000000,620000000,3
2020-01-26,USD,17315000000,13690000000,10896000000,10897000000,979000000,1657000000.0,3077000000,1674000000.0,1011000000.0,667000000,49000000,618000000,10782000000.0,77000000.0,1000000,157000000,118000000.0,5111000000,1784000000,687000000.0,402000000.0,0.0,0,1975000000,652000000.0,1991000000,0.0,1991000000.0,1991000000,865000000,775000000.0,12204000000,9814000000.0,14971000000,1000000,612000000,3
2019-01-27,USD,13292000000,10557000000,782000000,7422000000,1575000000,1424000000.0,2735000000,1404000000.0,767000000.0,663000000,45000000,618000000,13964000000.0,,6640000000,108000000,108000000.0,3950000000,1329000000,511000000.0,138000000.0,,0,1233000000,,1988000000,0.0,,1988000000,635000000,633000000.0,9342000000,9263000000.0,12565000000,1000000,606000000,3
2022-12-31,EUR,38826000000,22549600000,7268300000,7268300000,7199700000,,16276400000,,,3345700000,3345700000,4577100000,,923600000.0,107700000,266400000,,27540000000,17762600000,,,,746200000,9777400000,,3514200000,746200000.0,,4260400000,1971900000,275900000.0,11286000000,,8697700000,36300000,398000000,4
2021-12-31,EUR,30231000000,18190200000,6951800000,6951800000,5179200000,,12040800000,3147500000.0,,952100000,952100000,4555600000,,892500000.0,638500000,1000500000,,20090400000,12298000000,,,,509100000,7792400000,,4075000000,509100000.0,,4075000000,1737400000,,10140600000,,8317300000,36500000,410400000,4
2020-12-31,EUR,27267400000,15930000000,6049400000,6049400000,4569400000,,11337400000,2815200000.0,,1049000000,1049000000,4629100000,,820700000.0,1302200000,801700000,,13402000000,6603500000,,,,15400000,6798500000,,4662800000,15400000.0,,4662800000,1256000000,,13865400000,,10731500000,37600000,419100000,4
2019-12-31,EUR,24035100000,11971900000,3532300000,3532300000,3809200000,,12063200000,2323200000.0,0.0,2519400000,2519400000,4562700000,,833000000.0,1185800000,131100000,,10158200000,4694100000,,,,0,5464100000,0.0,3108300000,0.0,,3108300000,1105500000,0.0,13876900000,-1019600000.0,9523800000,38200000,421600000,4
2018-12-31,EUR,20136900000,10531400000,3121100000,3121100000,3439500000,,9605500000,1727100000.0,0.0,1104000000,1104000000,4541100000,,915800000.0,913300000,656600000,,8495900000,3791900000,,,,0,4704000000,0.0,3026500000,1.0000000000000001e+18,,3026500000,911400000,0.0,11641000000,-1621800000.0,9197900000,38600000,426400000,4
2022-12-31,USD,67580000000,15019000000,4835000000,5855000000,3771000000,5226000000.0,53813000000,1513000000.0,1507000000.0,48295000000,24118000000,24177000000,4503000000.0,83000000.0,1020000000,312000000,2152000000.0,12830000000,6369000000,2493000000.0,,0.0,0,6461000000,396000000.0,2467000000,,2467000000.0,2467000000,336000000,1664000000.0,54750000000,3099000000.0,-131000000,16000000,1612000000,5
2021-12-31,USD,12419000000,8583000000,2535000000,3608000000,1955000000,3035000000.0,4752000000,702000000.0,1134000000.0,289000000,0,289000000,69000000.0,69000000.0,1073000000,378000000,1478000000.0,4922000000,4240000000,1321000000.0,,312000000.0,312000000,682000000,348000000.0,1000000,312000000.0,1000000.0,313000000,98000000,321000000.0,7497000000,2130000000.0,-1451000000,12000000,1207000000,5
2020-12-31,USD,8962000000,6143000000,1595000000,2290000000,1399000000,2189000000.0,2819000000,641000000.0,912000000.0,289000000,229000000,289000000,63000000.0,63000000.0,695000000,233000000,373000000.0,3125000000,2417000000,468000000.0,15000000.0,0.0,0,708000000,201000000.0,330000000,,330000000.0,330000000,75000000,177000000.0,5837000000,131000000.0,-4605000000,12000000,1211000000,5
2019-12-31,USD,6028000000,4597000000,1466000000,1503000000,982000000,2056000000.0,1431000000,500000000.0,768000000.0,289000000,210000000,289000000,95000000.0,58000000.0,37000000,233000000,357000000.0,3201000000,2359000000,988000000.0,4000000.0,0.0,0,842000000,242000000.0,486000000,43000000.0,486000000.0,486000000,74000000,157000000.0,2827000000,53000000.0,-7095000000,12000000,1170000000,5
2018-12-31,USD,4556000000,3540000000,1078000000,1156000000,845000000,1235000000.0,1016000000,348000000.0,707000000.0,289000000,226000000,289000000,136000000.0,58000000.0,78000000,195000000,321000000.0,3290000000,1984000000,834000000.0,22000000.0,136000000.0,136000000,1317000000,,1250000000,136000000.0,1114000000.0,1250000000,24000000,192000000.0,1266000000,50000000.0,-7436000000,10000000,1005000000,5
